,발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,발생위치X_UTMK,발생위치Y_UTMK,경도,위도,발생월,발생일,발생시
23348,2017,2017-01-16 5:00,야간,월,1,3,1,1,0,서울,강남구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,이륜차,958239,1944403,127.0275518,37.49794369,1,16,5
23349,2017,2017-01-16 6:00,주간,월,1,1,0,0,0,서울,강서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,942464,1949674,126.8486832,37.54460299,1,16,6
23363,2017,2017-01-16 20:00,야간,월,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,949781,1943312,126.9319437,37.48768884,1,16,20
23366,2017,2017-01-17 6:00,주간,화,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,948061,1941725,126.9126006,37.47328971,1,17,6
23389,2017,2017-01-18 14:00,주간,수,1,1,0,0,0,서울,서대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,949586,1952686,126.9290944,37.57216769,1,18,14
23405,2017,2017-01-19 13:00,주간,목,1,1,0,0,0,서울,마포구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,948043,1950095,126.9118054,37.54872896,1,19,13
23418,2017,2017-01-20 10:00,주간,금,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승용차,보행자,946822,1945294,126.898331,37.50538728,1,20,10
23419,2017,2017-01-20 11:00,주간,금,1,2,1,0,0,서울,광진구,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,승용차,이륜차,962129,1950299,127.0712547,37.55125436,1,20,11
23429,2017,2017-01-21 2:00,야간,토,1,1,0,0,0,서울,성동구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,없음,960547,1950283,127.0533459,37.55104375,1,21,2
23439,2017,2017-01-22 4:00,야간,일,1,1,0,0,0,서울,종로구,차대사람,차도통행중,차도통행중,안전거리 미확보,단일로,기타단일로,승용차,보행자,956221,1952530,127.004238,37.57110108,1,22,4
23440,2017,2017-01-22 5:00,야간,일,1,2,0,1,0,서울,동작구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,승합차,947795,1943863,126.9094408,37.49254496,1,22,5
23480,2017,2017-01-25 22:00,야간,수,1,1,0,0,0,서울,강남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,958275,1946800,127.027823,37.51955031,1,25,22
23482,2017,2017-01-25 23:00,야간,수,1,5,0,4,0,서울,송파구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,968758,1945442,127.1465082,37.50772469,1,25,23
23484,2017,2017-01-26 2:00,야간,목,1,1,0,0,0,서울,동대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,958831,1953318,127.0337489,37.57832394,1,26,2
23504,2017,2017-01-27 20:00,야간,금,1,1,0,0,0,서울,종로구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,956493,1952747,127.0073052,37.57306984,1,27,20
23520,2017,2017-01-30 18:00,야간,월,1,1,0,0,0,서울,서초구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,957658,1942767,127.0210732,37.48317136,1,30,18
23538,2017,2017-02-01 18:00,야간,수,1,1,0,0,0,서울,도봉구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,959876,1964315,127.0449797,37.6774881,2,1,18
23546,2017,2017-02-02 15:00,주간,목,1,1,0,0,0,서울,양천구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,944651,1947090,126.8736338,37.52144716,2,2,15
23556,2017,2017-02-03 0:00,야간,금,1,1,0,0,0,서울,양천구,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,944521,1948172,126.872081,37.5311915,2,3,0
23557,2017,2017-02-03 0:00,야간,금,1,1,0,0,0,서울,동대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,961948,1954633,127.0689806,37.59031055,2,3,0
23571,2017,2017-02-03 23:00,야간,금,1,1,0,0,0,서울,서초구,차량단독,기타,기타,안전운전 의무 불이행,기타,기타,승용차,없음,955706,1945721,126.9988172,37.50970516,2,3,23
23585,2017,2017-02-05 1:00,야간,일,1,2,1,0,0,서울,노원구,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,960334,1963973,127.050192,37.67442554,2,5,1
23587,2017,2017-02-05 6:00,주간,일,1,1,0,0,0,서울,동대문구,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,화물차,승합차,960956,1953224,127.0578195,37.57756929,2,5,6
23590,2017,2017-02-05 20:00,야간,일,1,1,0,0,0,서울,종로구,차량단독,전도,전도,안전운전 의무 불이행,교차로,교차로내,이륜차,없음,955961,1954155,127.0011961,37.58573513,2,5,20
23637,2017,2017-02-11 2:00,야간,토,1,1,0,0,0,서울,종로구,차대사람,차도통행중,차도통행중,신호위반,교차로,교차로내,승용차,보행자,953830,1952480,126.977166,37.57053361,2,11,2
23641,2017,2017-02-11 10:00,주간,토,1,1,0,0,0,서울,강남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,959803,1947177,127.0450933,37.5230162,2,11,10
23645,2017,2017-02-12 2:00,야간,일,1,1,0,0,0,서울,광진구,차대사람,횡단중,횡단중,과속,교차로,교차로내,승용차,보행자,963548,1951509,127.087259,37.56221774,2,12,2
23649,2017,2017-02-12 6:00,주간,일,1,1,0,0,0,서울,서초구,차대사람,차도통행중,차도통행중,과속,단일로,기타단일로,승용차,보행자,957508,1946406,127.0191664,37.51596404,2,12,6
23657,2017,2017-02-13 5:00,야간,월,1,2,0,1,0,서울,동대문구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,화물차,승합차,960665,1954382,127.0544618,37.58799426,2,13,5
23665,2017,2017-02-13 23:00,야간,월,1,1,0,0,0,서울,관악구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,947828,1942610,126.909903,37.48125328,2,13,23
23700,2017,2017-02-16 23:00,야간,목,1,1,0,0,0,서울,중랑구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,962917,1952680,127.0800518,37.57275074,2,16,23
23707,2017,2017-02-18 1:00,야간,토,1,1,0,0,0,서울,성동구,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,958955,1952565,127.0351954,37.5715425,2,18,1
23711,2017,2017-02-18 10:00,주간,토,1,1,0,0,0,서울,동작구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,건설기계,보행자,951286,1945010,126.9488544,37.50307397,2,18,10
23718,2017,2017-02-19 2:00,야간,일,1,1,0,0,0,서울,성북구,차량단독,전도,전도,과속,단일로,고가도로위,승용차,없음,961449,1957289,127.0631886,37.61422896,2,19,2
23728,2017,2017-02-20 19:00,야간,월,1,1,0,0,0,서울,강북구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,958815,1960189,127.0331808,37.64025292,2,20,19
23752,2017,2017-02-23 4:00,야간,목,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승용차,보행자,968669,1944100,127.1455584,37.49562557,2,23,4
23755,2017,2017-02-23 12:00,주간,목,1,1,0,0,0,서울,은평구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승합차,보행자,948723,1959621,126.9188359,37.63462549,2,23,12
23761,2017,2017-02-24 10:00,주간,금,1,1,0,0,0,서울,동작구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,950312,1944217,126.9378887,37.49587455,2,24,10
23767,2017,2017-02-24 20:00,야간,금,1,4,1,1,1,서울,송파구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,967177,1941823,127.1287793,37.47504547,2,24,20
23790,2017,2017-02-27 19:00,야간,월,1,1,0,0,0,서울,도봉구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,기타,기타,화물차,보행자,960104,1961467,127.047721,37.65182864,2,27,19
23792,2017,2017-02-27 22:00,야간,월,1,1,0,0,0,서울,강서구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,942646,1950584,126.8506722,37.55281617,2,27,22
23805,2017,2017-02-28 23:00,야간,화,1,2,1,0,0,서울,강동구,차대차,기타,기타,중앙선 침범,교차로,교차로부근,원동기장치자전거,승합차,968026,1948333,127.1381002,37.53375751,2,28,23
23808,2017,2017-03-01 1:00,야간,수,1,3,2,0,0,서울,강남구,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,958821,1944637,127.0341228,37.50007897,3,1,1
23809,2017,2017-03-01 2:00,야간,수,1,1,0,0,0,서울,서대문구,차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로,승용차,이륜차,948581,1952405,126.9177337,37.56957943,3,1,2
23810,2017,2017-03-01 5:00,야간,수,1,1,0,0,0,서울,강동구,차대사람,보도통행중,보도통행중,과속,교차로,교차로횡단보도내,승용차,보행자,967231,1948705,127.1290844,37.53707988,3,1,5
23819,2017,2017-03-02 12:00,주간,목,1,2,0,1,0,서울,강동구,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,자전거,보행자,967596,1948573,127.1332227,37.53590572,3,2,12
23837,2017,2017-03-04 11:00,주간,토,1,1,0,0,0,서울,강동구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,자전거,건설기계,970958,1950920,127.1711833,37.55717234,3,4,11
23845,2017,2017-03-05 6:00,주간,일,1,1,0,0,0,서울,강서구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,941903,1947741,126.842486,37.52714563,3,5,6
23868,2017,2017-03-07 5:00,야간,화,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,953680,1941775,126.9761425,37.47403919,3,7,5
23869,2017,2017-03-07 9:00,주간,화,1,1,0,0,0,서울,동대문구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로부근,자전거,건설기계,961599,1955099,127.0650031,37.59449623,3,7,9
23886,2017,2017-03-08 20:00,야간,수,1,3,1,0,1,서울,강남구,차대차,추돌,추돌,과속,교차로,교차로부근,승용차,승용차,961025,1941975,127.059198,37.47618095,3,8,20
23894,2017,2017-03-09 23:00,야간,목,1,1,0,0,0,서울,강북구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로횡단보도내,이륜차,이륜차,957920,1959440,127.0230797,37.6334615,3,9,23
23901,2017,2017-03-10 14:00,주간,금,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,특수차,보행자,948217,1950126,126.9137729,37.54901817,3,10,14
23923,2017,2017-03-12 22:00,야간,일,1,1,0,0,0,서울,성동구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,이륜차,화물차,959708,1952047,127.0437508,37.56690688,3,12,22
23924,2017,2017-03-13 4:00,야간,월,2,2,0,0,0,서울,영등포구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,947562,1948627,126.9064652,37.53547046,3,13,4
23925,2017,2017-03-13 5:00,야간,월,1,2,1,0,0,서울,강북구,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,승용차,원동기장치자전거,957511,1957937,127.0185318,37.6198959,3,13,5
23952,2017,2017-03-15 14:00,주간,수,1,1,0,0,0,서울,도봉구,차대차,추돌,추돌,안전운전 의무 불이행,교차로,교차로부근,이륜차,승합차,957270,1962123,127.0155561,37.6576137,3,15,14
23967,2017,2017-03-17 3:00,야간,금,1,3,1,1,0,서울,중구,차대차,추돌,추돌,신호위반,교차로,교차로내,화물차,원동기장치자전거,954306,1951985,126.9825869,37.56609583,3,17,3
23971,2017,2017-03-17 14:00,주간,금,1,1,0,0,0,서울,종로구,차대차,기타,기타,기타,단일로,기타단일로,승용차,이륜차,953895,1956957,126.9776201,37.61088875,3,17,14
23976,2017,2017-03-17 23:00,야간,금,1,2,0,1,0,서울,성동구,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,이륜차,958132,1952121,127.0259012,37.56750355,3,17,23
23986,2017,2017-03-18 15:00,주간,토,1,1,0,0,0,서울,관악구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,949342,1943322,126.9269774,37.48775499,3,18,15
23989,2017,2017-03-18 20:00,야간,토,1,1,0,0,0,서울,서대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,948215,1952466,126.9135816,37.5701096,3,18,20
23994,2017,2017-03-19 9:00,주간,일,1,1,0,0,0,서울,마포구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,원동기장치자전거,948036,1950701,126.9116832,37.55419051,3,19,9
24002,2017,2017-03-20 15:00,주간,월,1,1,0,0,0,서울,서초구,차대차,추돌,추돌,기타,교차로,교차로부근,승용차,이륜차,959380,1941031,127.0406458,37.46760141,3,20,15
24006,2017,2017-03-20 21:00,야간,월,1,1,0,0,0,서울,강남구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,자전거,964078,1943702,127.0936418,37.49187097,3,20,21
24008,2017,2017-03-21 3:00,야간,화,1,2,0,1,0,서울,강동구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,교량위,승용차,화물차,965757,1949353,127.1123713,37.54286969,3,21,3
24021,2017,2017-03-22 12:00,주간,수,1,1,0,0,0,서울,금천구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,946639,1939271,126.8966972,37.45109022,3,22,12
24027,2017,2017-03-23 8:00,주간,목,1,2,0,1,0,서울,광진구,차대차,측면충돌,측면충돌,기타,단일로,기타단일로,자전거,승합차,963633,1950821,127.0882555,37.55601992,3,23,8
24072,2017,2017-03-29 6:00,주간,수,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,948705,1950663,126.9192597,37.55388551,3,29,6
24080,2017,2017-03-30 2:00,야간,목,1,1,0,0,0,서울,송파구,차량단독,주/정차차량 충돌,주/정차차량 충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,967010,1944151,127.1267885,37.49602745,3,30,2
24103,2017,2017-04-02 5:00,야간,일,1,1,0,0,0,서울,서초구,차대사람,횡단중,횡단중,신호위반,교차로,교차로부근,승용차,보행자,959318,1941142,127.0399386,37.46859918,4,2,5
24123,2017,2017-04-05 5:00,야간,수,1,2,0,1,0,서울,노원구,차대차,기타,기타,안전거리 미확보,단일로,터널안,승용차,화물차,963585,1964204,127.0870455,37.67664241,4,5,5
24134,2017,2017-04-06 3:00,야간,목,2,2,0,0,0,서울,광진구,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,원동기장치자전거,승용차,962907,1952370,127.0799576,37.56995262,4,6,3
24144,2017,2017-04-07 14:00,주간,금,1,1,0,0,0,서울,동작구,차량단독,전도,전도,안전운전 의무 불이행,기타,기타,원동기장치자전거,없음,953433,1945203,126.9731322,37.50492437,4,7,14
24152,2017,2017-04-07 21:00,야간,금,1,2,1,0,0,서울,도봉구,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,원동기장치자전거,승용차,959416,1962701,127.0398531,37.66292069,4,7,21
24153,2017,2017-04-07 23:00,야간,금,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,951232,1949215,126.9479643,37.54097168,4,7,23
24163,2017,2017-04-09 2:00,야간,일,1,1,0,0,0,서울,강동구,차대사람,횡단중,횡단중,과속,기타,기타,승용차,보행자,967956,1948384,127.1373057,37.53421477,4,9,2
24187,2017,2017-04-11 23:00,야간,화,1,4,1,2,0,서울,강동구,차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로,화물차,승용차,971463,1950646,127.1769115,37.55471844,4,11,23
24208,2017,2017-04-13 13:00,주간,목,1,1,0,0,0,서울,광진구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,963224,1948567,127.083738,37.53568758,4,13,13
24256,2017,2017-04-18 16:00,주간,화,1,1,0,0,0,서울,성북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,957382,1954586,127.0172653,37.58968674,4,18,16
24267,2017,2017-04-20 2:00,야간,목,1,1,0,0,0,서울,송파구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,965244,1945208,127.1067604,37.50548987,4,20,2
24272,2017,2017-04-21 8:00,주간,금,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,이륜차,보행자,948081,1945916,126.9125288,37.51106336,4,21,8
24276,2017,2017-04-21 14:00,주간,금,1,1,0,0,0,서울,영등포구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,949563,1946647,126.9292445,37.51773961,4,21,14
24291,2017,2017-04-24 5:00,야간,월,1,1,0,0,0,서울,강동구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로횡단보도내,자전거,승용차,968066,1948351,127.1385521,37.53392114,4,24,5
24309,2017,2017-04-25 16:00,주간,화,1,1,0,0,0,서울,서초구,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,956947,1942230,127.0130629,37.4782983,4,25,16
24313,2017,2017-04-26 4:00,야간,수,1,1,0,0,0,서울,종로구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,955841,1952498,126.9999369,37.57079451,4,26,4
24314,2017,2017-04-26 5:00,야간,수,1,1,0,0,0,서울,서초구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승합차,954903,1945368,126.9897533,37.50648457,4,26,5
24333,2017,2017-04-28 0:00,야간,금,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,교량위,승합차,보행자,945947,1948123,126.8882234,37.53083457,4,28,0
24348,2017,2017-04-29 18:00,야간,토,1,1,0,0,0,서울,강남구,차량단독,전도,전도,안전운전 의무 불이행,단일로,터널안,이륜차,없음,962545,1942822,127.0763454,37.48387823,4,29,18
24355,2017,2017-04-30 0:00,야간,일,1,2,1,0,0,서울,영등포구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내,승합차,없음,945389,1947039,126.8819889,37.52103148,4,30,0
24357,2017,2017-04-30 6:00,주간,일,1,2,1,0,0,서울,강북구,차대차,기타,기타,신호위반,단일로,기타단일로,승용차,승용차,959625,1959044,127.0424249,37.62996881,4,30,6
24370,2017,2017-05-01 0:00,야간,월,1,3,1,1,0,서울,구로구,차대사람,차도통행중,차도통행중,과속,단일로,기타단일로,이륜차,보행자,946545,1942300,126.8954147,37.47838583,5,1,0
24389,2017,2017-05-03 0:00,야간,수,1,1,0,0,0,서울,용산구,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,954280,1946856,126.9826121,37.51986567,5,3,0
24408,2017,2017-05-04 14:00,주간,목,1,1,0,0,0,서울,양천구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,942093,1946746,126.8447146,37.5181896,5,4,14
24410,2017,2017-05-04 23:00,야간,목,1,1,0,0,0,서울,강북구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,957462,1959194,127.0179034,37.63122317,5,4,23
24427,2017,2017-05-06 4:00,야간,토,1,1,0,0,0,서울,성북구,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,956953,1954761,127.0123959,37.59124408,5,6,4
24433,2017,2017-05-06 14:00,주간,토,1,2,0,1,0,서울,동작구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로부근,원동기장치자전거,승합차,949566,1946147,126.9293173,37.51322959,5,6,14
24440,2017,2017-05-06 22:00,야간,토,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,보행자,959285,1951076,127.039015,37.55813638,5,6,22
24445,2017,2017-05-07 10:00,주간,일,1,1,0,0,0,서울,성동구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,957966,1951934,127.0240322,37.56581051,5,7,10
24513,2017,2017-05-13 19:00,야간,토,1,1,0,0,0,서울,구로구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,941636,1941959,126.8399233,37.47501522,5,13,19
24523,2017,2017-05-15 3:00,야간,월,1,2,0,0,1,서울,동작구,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,948174,1944294,126.9136976,37.49645101,5,15,3
24526,2017,2017-05-15 8:00,주간,월,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,949789,1949995,126.9315774,37.54792445,5,15,8
24527,2017,2017-05-15 9:00,주간,월,1,2,0,1,0,서울,강동구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,자전거,970431,1950337,127.1652401,37.55190074,5,15,9
24530,2017,2017-05-15 11:00,주간,월,1,3,2,0,0,서울,양천구,차대차,기타,기타,신호위반,교차로,교차로내,원동기장치자전거,화물차,945149,1947765,126.8792188,37.52756075,5,15,11
24533,2017,2017-05-15 16:00,주간,월,1,2,0,1,0,서울,도봉구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,960613,1961615,127.0534831,37.65318457,5,15,16
24540,2017,2017-05-16 2:00,야간,화,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,968138,1944089,127.1395519,37.49550824,5,16,2
24565,2017,2017-05-18 6:00,주간,목,1,1,0,0,0,서울,동작구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,951376,1944761,126.9498891,37.50083442,5,18,6
24577,2017,2017-05-18 22:00,야간,목,1,1,0,0,0,서울,강남구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로부근,승용차,이륜차,959952,1947309,127.0467723,37.52421245,5,18,22
24614,2017,2017-05-21 20:00,야간,일,1,1,0,0,0,서울,성북구,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,958268,1956212,127.027208,37.60438284,5,21,20
24625,2017,2017-05-22 21:00,야간,월,1,1,0,0,0,서울,강동구,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,이륜차,원동기장치자전거,969636,1950039,127.1562522,37.54918888,5,22,21
